Q1:_A.result,Q1:_B.result,Q1:_rel_A.result,Q1:_rel_B.result,Q2:_Case1.result,Q2:_Case2.result,Q3.result,Q4:C.result,Q4:F_PreApprove_International.result,Q4:_A.result,Q4:_B.result,Q4:_D.result,Q4:_E_PreApprove_Domestic.result,Q5:_Average.result,Q6:Start-End_max.result,Q7.result,Q8.result,Q9.result,Q10.result,Q11.result,Q12.result
269,187,146,164,278,343,130,153,169,111,149,136,75,558,330,353,171,74,235,182,130
152,149,101,132,123,240,29,110,106,120,135,129,62,241,244,309,153,43,219,194,29
317,158,96,150,130,187,35,119,94,106,138,128,106,265,274,315,163,42,228,168,30
166,148,95,173,120,174,34,116,101,102,129,133,60,192,263,301,155,41,228,164,24
166,148,92,151,120,199,29,169,105,106,144,134,60,201,261,301,165,39,250,197,22
167,148,133,130,118,210,25,111,91,108,127,123,66,184,268,306,156,41,188,170,20
177,148,92,163,120,162,36,110,95,107,132,130,61,205,239,304,176,44,228,169,22
163,161,91,124,121,182,26,112,95,117,127,127,58,182,263,306,155,40,217,216,21
158,157,93,163,145,168,19,117,113,105,128,124,58,193,235,299,160,41,184,171,21
160,146,155,215,121,162,19,132,89,105,152,129,58,217,265,308,160,45,226,202,25
165,150,109,140,119,170,23,113,98,132,129,126,76,223,221,309,167,40,186,188,24
154,150,115,199,119,165,18,122,206,103,129,127,60,198,315,303,162,40,227,169,20
159,149,94,153,129,163,17,138,108,110,132,123,59,194,248,298,158,41,182,171,25
155,150,117,134,115,171,21,133,96,108,127,124,60,195,245,304,164,39,232,183,25
167,148,97,130,123,171,38,116,88,111,140,128,59,190,243,333,155,40,202,224,21
168,148,124,116,128,158,21,121,98,122,128,127,60,186,235,305,174,39,211,175,22
160,157,112,207,116,160,20,110,91,101,130,126,59,199,228,305,164,48,202,175,20
154,145,95,169,117,160,18,124,91,105,135,136,60,184,266,299,157,41,228,201,20
154,150,132,170,120,155,18,120,93,110,128,129,62,210,244,306,170,40,214,168,25
164,149,93,167,120,172,27,121,151,107,137,131,69,185,241,305,167,57,229,169,23
163,146,97,131,124,161,19,127,93,122,131,130,61,203,253,302,160,40,252,233,19
155,151,95,150,121,157,26,120,89,102,128,126,59,190,308,301,159,41,229,229,21
164,151,133,139,121,172,30,134,93,163,138,131,58,183,254,301,176,41,235,194,20
150,148,115,138,115,154,27,111,127,110,129,127,58,195,316,303,164,40,217,175,20
163,146,101,148,115,156,29,118,174,105,138,127,71,187,267,302,157,41,209,228,27
158,147,95,152,139,164,22,112,81,167,129,126,59,200,256,306,167,41,208,174,21
155,153,100,128,119,185,25,115,90,104,130,127,59,181,232,304,159,40,221,181,24
151,149,131,128,119,159,21,124,85,118,135,136,58,191,283,302,173,39,206,201,20
158,153,96,166,114,156,19,107,82,119,129,129,60,188,244,299,170,39,216,171,19
152,151,95,126,116,181,18,112,87,108,137,127,72,184,248,303,160,40,198,166,20
151,145,105,145,130,162,19,112,85,113,129,125,58,195,236,305,175,44,220,201,22
167,150,139,127,120,170,22,108,79,130,140,142,65,184,239,303,163,38,218,172,19
148,146,123,128,118,164,20,108,79,118,149,124,58,200,371,303,177,46,216,168,19
164,147,100,117,116,187,18,111,106,144,157,125,58,189,312,306,170,39,232,220,21
159,175,100,147,117,161,25,113,83,120,150,125,57,189,281,303,165,41,220,171,19
146,144,97,131,122,220,18,129,87,104,155,123,59,191,242,299,176,41,234,181,20
149,146,131,165,119,161,21,114,82,106,183,132,91,185,237,305,159,40,247,233,19
156,146,100,136,120,149,20,111,90,105,182,130,58,199,252,305,185,39,230,187,20
148,156,100,137,116,172,22,107,81,145,150,125,58,184,335,325,166,39,197,167,21
143,148,102,119,124,147,18,110,94,118,135,128,58,195,260,322,164,42,221,178,18
151,147,164,131,124,156,26,119,81,123,129,128,59,193,236,305,171,39,241,167,20
149,146,105,117,122,154,20,110,89,106,134,134,67,185,288,307,165,40,201,220,18
158,146,100,134,117,153,21,123,80,106,142,125,59,200,252,301,178,42,229,177,19
145,158,100,115,127,177,20,122,100,116,136,128,58,185,264,305,164,39,233,174,20
150,148,101,130,116,154,27,118,85,107,173,129,59,254,316,303,179,43,210,169,19
145,145,138,115,117,157,18,111,95,111,157,123,58,188,263,307,164,41,228,202,17
152,148,101,119,113,165,19,107,79,105,131,128,58,193,234,303,188,43,242,169,23
152,149,100,119,126,167,18,122,81,108,127,123,58,191,258,303,168,42,195,292,19
147,158,99,129,114,167,20,117,82,121,138,126,59,188,346,305,175,40,223,168,20
143,146,100,121,115,214,18,140,111,108,149,129,58,204,292,308,166,43,241,176,19
147,147,169,120,116,247,19,136,82,112,127,123,58,181,430,306,192,39,241,202,22
154,153,126,118,121,253,27,122,87,105,130,124,58,198,305,304,174,40,197,176,21
149,160,105,117,122,161,19,108,90,124,138,123,59,185,243,300,184,40,228,170,21
148,150,99,122,114,215,20,105,79,103,135,130,58,190,320,309,178,43,233,217,21
145,149,101,120,115,157,20,157,89,117,131,127,59,191,273,305,170,45,243,172,19
153,161,99,122,114,153,24,114,89,121,132,128,70,185,264,304,172,39,206,173,25
145,169,99,119,120,184,30,114,80,119,128,140,59,193,241,312,173,45,237,179,19
149,171,101,124,133,149,30,121,78,105,128,127,61,193,238,308,174,40,223,167,22
151,148,101,108,115,150,24,109,81,105,143,128,56,184,235,308,166,40,224,209,21
150,145,104,125,136,158,19,116,84,107,129,124,58,208,307,302,166,41,236,207,27
165,148,103,120,114,160,48,107,80,104,132,124,59,183,235,309,167,40,202,175,19
148,157,170,102,113,154,25,122,82,112,134,135,59,190,237,309,167,40,233,167,19
148,150,141,115,142,179,21,121,80,104,125,128,68,183,368,326,203,39,226,168,22
150,148,102,118,116,152,23,107,104,108,144,127,60,225,255,310,169,40,213,166,19
158,149,103,123,119,149,19,112,79,128,126,126,58,182,218,312,169,39,246,218,18
150,155,101,112,132,215,20,106,100,107,131,133,57,210,389,307,171,41,219,194,21
149,146,140,123,115,162,19,106,87,111,125,143,59,198,273,311,165,40,243,171,18
155,146,101,118,118,208,20,108,89,103,124,128,60,187,281,316,172,40,223,171,18
148,148,102,122,120,179,19,110,80,103,134,127,58,192,233,305,167,43,254,166,19
185,146,107,101,113,149,22,112,80,109,130,129,60,185,244,308,167,40,215,213,19
157,159,104,132,160,157,21,106,87,105,125,129,58,200,213,314,167,40,230,171,18
148,154,199,100,117,159,29,151,78,118,126,164,59,187,291,329,188,39,302,166,18
150,146,115,102,123,156,19,135,93,135,126,151,69,197,245,327,171,39,214,242,18
147,147,125,136,116,152,33,134,81,104,136,136,59,198,247,307,169,45,237,174,21
157,145,121,99,127,154,18,137,166,105,129,135,60,182,229,317,172,40,229,196,17
148,146,121,97,118,179,21,112,99,101,124,146,60,194,229,314,172,45,245,173,18
146,159,129,133,118,163,21,139,115,125,127,160,61,186,239,312,173,40,223,166,18
159,144,119,103,124,159,17,117,168,109,133,132,69,193,220,313,174,40,244,207,17
171,150,125,125,118,161,18,117,84,111,148,141,61,187,220,315,184,39,219,189,17
150,161,112,121,126,151,30,110,81,106,126,143,59,217,210,309,173,41,229,172,17
150,146,126,127,117,153,19,108,98,125,124,166,60,197,265,314,179,41,226,170,18
151,148,118,103,125,173,25,109,80,101,125,128,92,184,228,312,174,43,281,176,18
156,147,129,119,118,147,20,114,79,111,133,126,80,200,229,313,175,40,228,169,18
148,155,125,131,122,156,33,110,81,105,124,128,104,187,222,309,174,40,260,172,18
150,145,124,96,129,156,21,122,84,103,126,125,68,193,216,317,179,38,228,242,18
150,146,116,121,121,152,21,112,85,113,134,140,62,192,211,310,179,40,259,182,18
150,147,121,99,123,154,27,162,112,105,124,124,63,185,259,309,177,42,224,170,18
203,148,123,112,119,181,19,161,82,111,141,147,67,193,227,313,176,43,248,168,17
152,155,125,101,117,151,30,116,87,101,139,140,66,193,222,323,181,41,230,208,17
149,143,128,96,132,150,19,165,83,108,130,130,63,246,220,308,180,50,257,185,19
147,147,144,113,132,164,22,116,90,116,130,132,73,194,218,313,182,39,235,227,17
158,148,112,101,119,152,21,127,82,103,129,141,61,197,206,317,198,40,259,170,16
147,161,128,122,157,149,20,114,84,109,125,127,62,196,249,316,176,40,234,173,23
150,148,109,98,118,163,19,118,89,101,127,131,62,187,224,323,177,41,260,167,17
147,145,126,133,124,148,21,122,94,109,131,128,60,195,231,328,177,39,235,211,17
146,145,114,106,139,154,39,113,83,127,125,125,72,187,219,314,183,39,275,169,17
167,148,124,122,120,167,21,122,80,103,126,140,59,183,240,310,176,40,242,169,18
147,154,128,96,148,170,20,124,103,110,126,130,64,209,210,312,199,45,270,168,17
146,147,125,137,124,161,22,144,86,104,136,126,60,192,249,313,181,40,248,195,17
147,145,133,96,152,158,22,147,80,106,126,127,62,229,212,308,175,41,252,171,18
