Q1:_A.result,Q1:_A_inlined_where.result,Q1:_A_inlined_where_tailored.result,Q1:_A_rel_tailored.result,Q1:_rel_A.result,Q1:_rel_A_inlined_where.result,Q2:_Case2.result,Q2:_Case2_inlined.result,Q3.result,Q3_inline.result,Q4:_A.result,Q4:_A_inlined.result,Q4:_B.result,Q4:_B_inlined.result,Q4:_C.result,Q4:_C_inlined.result,Q4:_D.result,Q4:_D_inlined.result,Q5:_Average.result,Q5:_Average_inlined.result,Q6:Start-End_max.result,Q6:Start-End_max_tailored.result,Q7.result,Q8.result,Q8_cross.result,Q8_tailored.result,Q8_tailored_nocasematch.result,Q8_tailored_v2.result,Q9.result,Q9_inlined_where.result,Q10.result,Q10_inlined_where.result,Q11.result,Q11_inlined_where.result,Q11_inlined_where_v2.result,Q11_tailored.result,Q12.result
86,59,86,94,165,93,79,80,30,30,35,34,26,30,36,38,36,30,98,74,296,135,33,159,150,2846,2583,3253,41,40,335,148,169,706,1234,755,46
84,57,66,88,165,80,107,58,26,26,33,31,27,31,30,30,24,23,102,72,315,136,33,153,181,2643,2507,3261,35,36,318,139,183,694,1224,728,48
95,50,68,88,144,80,112,62,27,27,33,30,24,36,29,30,25,22,92,77,271,151,30,169,151,2644,2510,3246,36,35,250,135,163,723,1535,626,41
78,49,66,97,152,85,100,58,25,24,39,30,25,25,31,30,23,22,80,74,237,133,33,170,156,2606,2499,3333,36,45,213,133,177,814,1443,605,41
63,59,66,96,169,80,76,66,25,25,32,30,26,40,29,29,31,22,90,77,237,138,28,157,154,2662,2601,3211,36,36,250,140,155,609,1135,655,33
65,61,64,85,123,84,70,54,25,23,37,34,33,24,28,28,24,24,78,74,245,132,28,178,151,2751,2749,3244,35,39,213,138,207,590,1302,602,38
66,51,68,82,126,80,82,61,30,24,33,37,25,31,33,32,23,23,81,73,296,118,27,148,213,2766,2643,3256,36,35,225,137,161,618,1105,606,34
69,53,86,84,128,107,67,55,25,30,34,31,25,24,36,31,23,23,74,83,208,146,28,157,148,2562,2621,3202,35,38,210,200,181,624,1459,699,31
75,51,68,94,123,80,70,67,25,28,33,33,26,25,29,40,37,28,77,74,226,128,27,149,153,2627,2618,3202,35,36,248,135,160,628,1286,638,38
61,51,64,82,129,82,65,60,24,24,34,30,29,27,28,29,22,25,75,75,209,117,29,151,160,2601,2567,3297,37,35,331,135,197,610,1184,635,34
63,55,68,84,121,80,73,57,24,24,32,35,29,27,38,29,30,22,70,84,203,149,28,152,154,2544,2615,3351,36,36,358,135,172,597,1298,672,30
60,49,65,84,116,81,64,66,28,24,52,32,26,30,31,28,28,22,75,76,225,138,29,155,149,2538,2553,3212,35,35,285,149,189,619,1322,616,31
62,51,65,83,130,82,69,55,25,24,37,32,26,29,30,39,22,23,74,78,198,122,28,153,152,2570,2616,3238,34,39,360,143,166,593,992,583,33
56,56,64,95,114,85,62,71,25,31,32,30,24,33,35,29,22,31,71,75,255,135,27,153,143,2532,2638,3252,39,35,335,134,187,638,1045,669,30
65,53,76,102,116,80,70,55,24,22,43,34,38,24,30,28,22,22,79,73,242,117,28,153,167,2645,2597,3220,35,37,267,135,199,551,1058,641,30
71,63,65,86,122,81,65,77,25,24,33,32,25,25,29,27,25,25,76,78,200,112,27,155,154,2565,2525,3248,35,36,298,132,176,634,1237,639,32
65,58,66,89,112,80,70,57,29,24,32,30,29,23,28,27,25,23,71,76,235,117,27,165,150,2634,2659,3233,35,36,287,139,190,657,1465,740,35
70,58,67,87,162,104,69,60,28,24,38,31,29,24,34,28,23,22,75,73,199,119,28,155,169,2685,2635,3249,37,35,235,135,194,590,1218,682,29
58,57,64,83,129,85,69,59,32,27,34,30,25,30,29,30,24,23,74,77,227,109,27,148,153,2664,2679,3225,36,36,264,136,230,638,1564,604,30
59,57,68,93,123,79,64,65,24,24,34,32,26,26,29,27,23,22,73,78,200,126,28,152,151,2721,2693,3247,36,38,268,132,186,781,1413,679,32
64,53,65,89,129,79,71,55,25,24,38,29,24,24,29,28,22,29,75,73,291,137,26,148,154,2673,2589,3251,35,35,245,144,185,621,1367,645,33
86,63,78,87,129,80,65,67,25,25,32,30,33,25,41,29,30,22,78,79,225,124,28,144,151,2632,2622,3328,37,40,246,135,172,579,1249,608,36
59,56,85,86,127,112,81,56,25,25,34,32,25,25,33,30,23,22,69,80,204,125,27,144,153,2604,2556,3211,36,35,279,133,216,651,1394,583,31
58,58,66,90,130,83,71,64,31,30,33,32,24,28,29,34,24,23,70,74,240,117,27,145,152,2588,2670,3207,35,36,335,138,176,626,1488,726,26
