q1-opposite.result,q1.result,q2-case1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q4-v3-domestic.result,q4-v3-inter.result,q5.result,q6.result,q7.result,q8.result,q9.result,q10.result,q11.result,q12.result
27.452,14.533,12.042,15.841,3.502,23.842,19.634,15.270,18.253,13.157,16.350,18.259,17.283,53.907,37519.486 ,2264.985 ,343.928,675.241,6.600
25.316,14.747,13.607,14.653,3.284,17.335,19.460,15.087,17.794,13.548,15.837,18.020,17.952,52.764,37719.200 ,2251.352 ,345.687,671.855,5.870
26.476,15.023,19.071,15.322,3.539,17.325,18.986,15.395,17.735,13.613,18.109,18.080,17.999,51.745,40925.552 ,2273.000 ,339.702,673.099,6.137
26.670,14.909,15.318,14.805,3.222,17.277,19.980,14.967,17.951,12.733,15.911,19.118,18.360,52.184,37719.945 ,2480.940 ,342.656,668.358,5.691
27.521,14.875,12.000,15.456,2.743,18.242,18.781,13.327,16.941,17.055,16.542,19.890,18.145,51.744,37650.386 ,2430.801 ,345.942,665.282,5.888
27.170,15.832,14.374,15.741,3.234,21.204,23.096,14.756,20.182,13.113,17.295,17.794,18.176,54.508,37862.284 ,2320.389 ,356.664,670.198,6.071
25.841,16.086,13.461,16.242,3.916,17.314,17.877,15.509,17.490,12.579,17.871,18.314,20.140,51.183,37746.093 ,2459.503 ,345.942,677.013,6.128
25.952,14.795,13.003,16.678,2.864,18.441,19.268,14.693,16.676,11.947,23.710,17.307,18.235,51.804,37652.565 ,2347.148 ,344.870,666.968,6.571
25.386,14.807,13.142,16.307,3.983,22.221,20.147,15.286,18.550,13.733,22.381,19.545,18.481,51.746,37745.088 ,2258.266 ,342.909,675.863,6.654
25.458,15.812,13.423,14.865,3.672,18.837,19.134,15.010,18.007,12.858,14.844,17.761,18.165,51.449,37541.842 ,2351.654 ,350.174,663.581,5.499
25.113,15.247,12.339,14.840,3.962,21.136,20.173,15.031,17.649,13.590,15.720,20.362,22.122,51.995,39208.521 ,2258.866 ,342.361,667.477,6.180
31.732,15.734,12.302,15.995,2.933,16.262,19.483,14.314,17.940,13.450,18.781,18.054,18.559,51.886,38797.799 ,2426.508 ,349.091,678.293,6.094
44.934,15.166,13.347,15.948,3.974,14.830,19.312,14.974,19.914,13.675,15.924,18.420,18.911,51.851,38481.323 ,2556.528 ,344.493,683.828,5.937
27.625,14.708,12.439,15.522,3.461,16.351,19.360,14.698,17.728,12.937,16.184,17.247,18.432,51.627,38557.758 ,2435.048 ,345.293,673.508,5.987
26.312,14.779,12.086,15.777,3.186,16.157,18.922,14.764,18.136,13.121,15.978,17.591,18.028,52.431,38654.565 ,2583.574 ,344.434,668.260,5.674
26.697,15.604,12.612,14.462,3.513,16.866,18.808,15.498,18.178,14.674,16.345,18.055,17.971,51.942,38422.561 ,2482.434 ,343.345,668.242,5.729
26.220,15.302,12.419,14.812,3.458,17.427,19.238,15.345,18.310,12.610,16.970,17.762,18.728,52.018,38946.151 ,2426.818 ,342.554,666.929,6.114
25.464,15.988,12.661,15.005,3.316,15.763,19.603,15.022,17.539,13.173,17.224,18.080,19.825,53.145,39796.840 ,2338.106 ,345.168,675.178,6.803
