q1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q5.result,q6.result,q7.result,q8.result,q8_v2.result,q9.result,q9_v2.result,q9_v3_join.result,q10.result,q10_v2.result,q11.result,q12.result
28.506,16.843,5.319,17.640,19.117,17.117,19.479,27.523,19.544,58.257,39455.387 ,42.928,2500.518 ,15755.391 ,23.589,52173.806 ,452.473,730.605,9.856
16.659,20.061,4.921,16.148,19.540,14.846,18.067,19.991,23.528,54.919,39223.541 ,47.664,2989.198 ,15567.666 ,24.802,55383.160 ,447.825,734.566,9.138
15.507,19.486,4.998,15.222,19.304,14.386,17.918,21.138,20.930,55.763,38962.723 ,43.241,2782.667 ,14878.067 ,24.688,53094.084 ,440.593,735.099,9.121
19.089,17.233,4.670,16.435,18.765,14.029,16.397,22.133,19.056,55.414,38805.089 ,40.935,2754.436 ,15312.785 ,24.195,50856.534 ,446.256,741.960,10.300
17.166,16.632,4.981,16.284,19.440,14.629,17.800,19.389,19.143,56.210,39738.924 ,43.639,2715.172 ,15228.107 ,23.373,51796.310 ,519.119,736.941,9.104
16.303,17.094,4.826,17.879,22.508,15.111,18.016,21.512,20.316,58.281,39251.263 ,43.086,2734.762 ,15032.781 ,23.360,52701.800 ,548.764,724.707,9.126
16.093,22.137,5.084,17.065,19.582,14.227,17.089,19.424,19.092,55.082,39231.249 ,43.327,2717.866 ,14601.226 ,24.025,52632.928 ,484.136,723.095,9.174
16.955,19.232,4.664,16.433,22.268,14.622,16.639,18.796,22.034,56.874,39097.627 ,40.701,2713.767 ,15734.983 ,28.187,52713.920 ,458.523,747.680,8.777
17.589,17.714,4.963,16.336,18.246,16.388,17.517,19.586,18.465,57.875,39663.050 ,44.053,2693.274 ,16156.517 ,23.300,53326.547 ,443.790,742.026,9.275
16.779,17.635,5.050,15.668,19.599,14.737,17.857,19.781,21.382,56.078,39545.112 ,40.758,2685.331 ,15405.653 ,22.344,52696.995 ,456.708,805.433,9.231
15.643,16.898,5.024,16.134,18.267,15.022,17.905,21.494,19.925,53.123,39039.222 ,41.315,2739.285 ,15889.837 ,38.373,53026.918 ,449.909,739.808,9.040
16.001,17.336,4.780,15.766,19.632,14.732,18.407,19.658,19.485,54.890,38952.179 ,42.148,2748.061 ,15237.257 ,23.191,53294.916 ,456.291,740.207,8.792
16.343,23.672,5.399,17.061,21.343,16.333,19.951,19.990,19.651,55.432,40646.226 ,43.830,2678.958 ,15610.070 ,23.053,52756.475 ,458.247,737.619,8.952
16.291,17.706,4.420,15.595,18.502,15.715,17.977,19.693,22.279,53.773,40375.941 ,40.583,2665.015 ,15099.124 ,23.973,52939.838 ,436.430,725.480,9.182
16.885,17.373,4.860,17.036,18.413,13.741,17.265,19.496,19.351,54.178,38954.395 ,41.537,2737.209 ,15151.311 ,22.150,52554.436 ,449.599,735.456,8.561
17.819,17.534,6.693,16.004,19.301,14.479,17.476,19.820,21.651,58.636,38904.326 ,41.257,2685.624 ,15067.089 ,22.526,52713.164 ,450.800,727.597,9.313
17.044,17.940,4.790,15.835,18.994,15.155,17.061,19.528,19.275,52.774,38366.419 ,42.257,2720.289 ,15146.274 ,22.118,52772.782 ,447.643,735.479,8.399
15.905,19.337,5.241,15.452,21.060,14.607,17.332,19.197,21.262,56.809,39011.671 ,43.557,2650.184 ,15697.804 ,22.117,52717.827 ,444.527,725.419,9.451
16.425,17.549,4.763,16.475,19.075,17.055,17.596,19.597,19.399,54.720,38429.210 ,42.372,2688.645 ,14879.398 ,22.445,52670.471 ,448.874,748.659,9.229
21.617,17.205,5.169,17.461,19.652,14.821,18.281,23.926,19.900,53.090,38332.483 ,41.532,2656.785 ,15224.818 ,23.678,52719.199 ,469.257,757.401,9.058
21.813,24.090,4.932,16.810,20.867,15.137,16.913,19.932,20.611,57.773,38679.241 ,42.041,2713.378 ,14974.575 ,22.144,52676.726 ,466.846,746.131,9.787
15.790,17.570,5.201,15.602,19.864,14.362,17.800,19.527,22.566,56.963,38254.739 ,41.863,3301.842 ,14950.697 ,22.796,52805.092 ,474.711,759.359,10.638
15.781,25.093,4.910,15.799,20.746,14.371,17.781,20.620,18.411,62.221,38386.109 ,42.316,2938.973 ,14940.851 ,22.511,51891.081 ,486.160,741.815,8.213
16.049,17.902,5.376,21.696,20.521,14.710,18.283,20.653,19.520,56.271,38363.052 ,41.651,3045.702 ,15138.789 ,22.601,49660.795 ,457.802,760.805,9.113
15.847,17.527,5.770,16.402,19.690,15.453,20.314,19.378,19.684,57.298,38230.482 ,42.095,2834.468 ,15420.864 ,22.577,52479.010 ,464.224,707.361,9.189
17.464,19.245,6.179,16.629,19.003,14.134,17.716,19.750,22.590,61.799,38589.533 ,44.462,3061.487 ,15324.415 ,25.819,52826.781 ,450.096,710.032,8.903
16.141,18.399,5.025,17.516,18.874,13.512,17.519,23.599,19.339,56.485,38239.952 ,42.603,2863.404 ,14738.071 ,23.933,52941.931 ,464.344,710.230,9.009
17.808,16.942,5.247,15.549,19.915,14.914,18.014,19.858,18.516,64.858,38251.041 ,49.150,2754.900 ,14472.881 ,23.502,52377.372 ,465.586,698.573,9.270
16.900,18.973,4.951,15.956,19.774,16.281,22.940,20.773,27.586,57.279,38405.029 ,45.299,2785.384 ,14966.152 ,22.845,52543.438 ,465.177,709.011,8.991
18.884,17.278,4.578,16.088,19.231,14.267,17.817,19.512,24.458,56.516,38368.522 ,55.770,2703.263 ,14409.577 ,24.595,52680.768 ,451.748,700.958,9.309
17.767,19.370,5.203,16.336,18.619,13.874,18.203,19.835,20.233,57.330,38251.868 ,44.318,2778.338 ,15128.511 ,21.808,52963.605 ,478.957,707.810,9.182
16.528,16.787,4.681,16.533,18.160,15.335,17.593,21.863,20.593,55.762,38291.935 ,46.806,2835.127 ,14696.171 ,22.494,52590.178 ,469.643,703.088,8.980
17.867,19.758,6.559,16.228,19.980,14.697,17.374,19.330,20.216,57.714,38640.486 ,41.367,2893.604 ,14370.530 ,22.748,50218.009 ,447.329,759.028,8.781
16.441,17.201,6.779,17.492,19.857,14.578,17.005,19.652,19.518,54.751,38185.100 ,44.049,2796.891 ,14625.712 ,22.968,48276.756 ,467.507,714.613,8.916
16.532,17.602,5.060,15.219,17.841,14.919,18.055,21.175,18.800,58.115,38444.602 ,43.892,2919.405 ,15428.919 ,23.647,50074.149 ,474.361,712.500,18.367
16.601,18.978,5.041,15.367,18.801,14.611,17.991,22.381,22.071,73.804,39322.358 ,43.295,2850.998 ,15726.845 ,22.187,48790.864 ,462.185,708.398,10.640
15.777,20.494,5.066,15.972,18.984,20.428,18.515,20.602,18.820,58.481,38969.051 ,44.287,2947.948 ,15377.181 ,22.670,48266.503 ,449.395,709.610,11.878
19.383,18.341,4.825,15.409,19.761,14.201,18.784,19.440,19.495,58.042,38969.609 ,43.131,2739.372 ,14957.291 ,25.286,48483.222 ,453.217,715.100,12.069
16.155,18.944,5.737,16.816,18.125,15.445,17.498,21.185,19.165,57.124,38543.318 ,43.466,3120.055 ,15285.152 ,23.433,48694.012 ,446.813,723.759,22.758
16.724,17.481,4.968,15.940,19.364,14.356,17.808,19.068,19.312,58.408,38528.873 ,44.139,2567.293 ,16751.072 ,23.422,48407.259 ,448.971,741.674,8.238
18.054,19.383,5.065,21.796,19.837,14.554,17.760,19.415,19.904,56.079,38528.196 ,44.389,2459.936 ,16697.875 ,23.093,48726.827 ,447.408,744.622,11.250
16.413,16.408,4.838,15.687,20.761,14.631,17.817,19.876,22.175,57.046,38431.683 ,41.998,2500.458 ,16533.976 ,30.339,48555.940 ,463.624,734.595,8.521
17.781,16.785,4.982,16.201,18.656,14.919,19.520,24.187,19.112,59.158,38574.152 ,40.680,2508.842 ,15948.666 ,25.972,48927.632 ,456.552,749.734,8.978
16.881,17.061,6.860,16.918,18.680,14.184,17.793,19.972,18.866,63.635,38434.577 ,43.441,2531.174 ,16196.589 ,22.647,49544.121 ,465.898,739.484,10.038
16.219,16.974,5.133,16.088,19.714,15.341,18.577,21.386,19.570,54.487,38337.139 ,49.027,2435.080 ,16467.118 ,24.832,48242.154 ,443.060,738.297,8.736
18.257,18.494,4.698,15.920,21.433,14.937,17.003,20.492,25.160,57.872,38358.868 ,46.514,2388.584 ,14862.202 ,22.935,50228.667 ,452.355,743.312,8.885
18.751,16.930,4.451,16.031,18.934,13.472,17.717,20.802,19.428,53.935,38269.959 ,90.037,2411.009 ,15535.875 ,23.870,53273.399 ,451.178,728.708,22.125
16.376,17.480,5.372,15.822,19.128,14.523,18.092,19.196,19.066,57.270,38463.910 ,43.269,2442.306 ,15146.038 ,26.017,53038.282 ,447.703,729.783,21.087
17.127,16.826,4.506,16.629,18.968,14.582,18.040,19.489,19.190,54.214,38616.156 ,48.429,2505.934 ,18047.026 ,23.918,52442.248 ,464.031,736.801,9.051
16.988,17.107,4.668,15.095,18.835,14.562,18.898,21.286,30.066,54.197,39185.043 ,41.613,2445.014 ,17755.711 ,23.611,52698.824 ,475.623,722.049,8.880
16.596,19.362,5.035,16.324,19.667,15.587,17.314,23.454,19.210,54.383,38586.337 ,41.532,2522.440 ,16573.776 ,24.701,52765.304 ,464.214,726.080,16.247
16.540,17.014,4.856,16.369,19.094,16.298,18.844,20.430,19.293,56.115,38731.769 ,43.776,2365.889 ,15407.805 ,23.856,52568.861 ,481.961,744.607,10.558
16.510,16.674,4.927,17.498,19.163,15.181,17.484,22.833,22.456,55.013,38278.606 ,41.920,2387.157 ,14436.410 ,23.326,52491.557 ,473.141,733.299,10.131
18.784,17.778,5.351,17.280,20.831,15.075,16.081,19.365,19.118,53.417,38434.357 ,41.348,2451.165 ,14591.459 ,24.228,52784.643 ,470.254,727.930,9.328
16.284,17.197,4.867,17.001,18.945,14.489,18.667,20.846,19.306,55.541,38543.682 ,42.575,2475.467 ,14347.689 ,22.559,52801.956 ,467.865,730.318,9.258
16.021,19.458,5.061,15.910,18.405,15.008,17.896,19.256,19.414,63.632,38416.296 ,44.226,2491.190 ,14282.823 ,23.038,52638.286 ,472.183,738.703,10.458
15.597,17.090,4.845,16.012,19.807,16.188,19.885,20.365,20.941,54.335,38616.842 ,42.977,2469.046 ,14276.826 ,24.352,53001.814 ,455.285,740.072,9.531
16.552,16.845,5.237,18.692,19.191,15.025,17.486,22.502,18.818,55.398,38499.653 ,44.936,2655.857 ,15152.743 ,21.279,52274.754 ,458.640,758.618,9.104
15.930,18.463,4.909,15.823,20.139,14.892,16.608,21.140,19.048,53.343,38620.512 ,43.628,3105.082 ,15643.352 ,25.383,52632.224 ,467.267,731.977,9.292
17.157,16.930,5.118,17.440,18.626,14.060,17.464,19.675,18.537,54.643,38497.972 ,43.560,2421.008 ,14780.636 ,24.259,52530.816 ,485.209,737.405,9.171
16.096,19.268,4.935,16.101,18.452,17.185,17.595,20.202,24.839,59.003,40362.269 ,40.936,2405.569 ,14326.577 ,23.730,52836.240 ,465.892,729.039,9.784
16.079,17.276,5.251,15.327,19.228,14.579,23.165,19.380,19.430,56.520,42882.068 ,42.637,2366.230 ,15516.240 ,23.572,52570.103 ,476.251,724.727,10.128
18.571,16.673,5.041,15.874,19.212,14.221,17.743,27.359,19.554,59.276,40728.775 ,43.623,2384.921 ,15661.438 ,22.886,52499.829 ,469.051,715.926,9.410
15.449,17.638,4.986,16.416,19.974,14.960,17.939,19.730,19.144,55.701,40342.503 ,44.312,2423.498 ,14610.972 ,22.674,52667.969 ,476.334,726.209,8.810
16.153,17.800,5.668,15.771,19.000,14.390,17.693,18.670,19.712,56.969,43366.663 ,45.036,2403.690 ,14843.320 ,22.668,52351.682 ,457.830,740.654,11.886
16.441,20.042,5.239,16.121,18.859,14.601,17.612,19.298,21.362,64.088,41628.611 ,45.063,2444.795 ,16543.871 ,23.820,54817.092 ,477.109,753.131,9.456
18.522,18.119,4.870,16.818,18.597,14.338,18.391,22.920,19.367,57.243,42524.867 ,45.254,2406.072 ,15964.256 ,21.874,67381.620 ,468.788,724.706,10.548
18.695,16.517,4.749,15.992,18.821,15.780,17.514,20.223,19.754,60.325,39910.277 ,46.349,2395.943 ,17184.510 ,22.502,59874.833 ,467.956,718.843,9.475
16.679,17.261,5.312,15.849,20.170,14.399,18.279,19.934,23.550,55.937,40654.077 ,45.117,2489.396 ,15970.955 ,22.625,61467.302 ,458.149,730.783,8.611
17.482,17.036,5.233,17.195,20.977,14.132,18.528,19.796,19.073,57.510,41922.805 ,42.933,2460.048 ,14473.777 ,22.761,56132.372 ,483.926,746.527,10.081
15.630,18.409,5.449,15.363,19.767,16.375,16.032,24.587,19.013,58.412,41098.083 ,41.988,2426.645 ,14687.940 ,22.922,62113.952 ,456.465,723.087,10.071
17.454,21.306,4.437,16.944,19.998,14.667,17.724,19.329,18.538,54.876,41043.839 ,41.543,2551.902 ,13971.314 ,22.871,52843.406 ,473.941,727.969,10.351
16.436,17.198,4.733,16.170,18.912,15.508,17.538,19.430,19.007,57.967,41216.374 ,42.855,2419.032 ,14716.805 ,22.953,49790.678 ,471.586,743.220,10.218
16.669,16.795,4.856,18.036,20.244,17.304,17.797,21.848,20.782,56.616,39573.719 ,43.514,2433.099 ,15913.456 ,23.060,48957.622 ,466.278,731.656,10.007
16.102,18.911,4.611,16.347,19.770,24.503,17.736,18.805,21.901,55.575,41029.158 ,41.682,2437.873 ,16692.544 ,23.324,48720.867 ,458.700,730.523,10.138
16.486,18.271,5.069,16.907,19.407,15.023,18.438,19.569,28.439,61.331,41267.426 ,43.774,2434.553 ,14661.322 ,23.675,48788.329 ,470.771,727.253,9.844
16.787,16.465,4.765,15.976,17.674,15.848,17.599,19.453,21.102,54.231,39309.712 ,41.662,2422.132 ,14783.695 ,24.447,48505.088 ,473.485,718.254,9.957
16.820,18.973,4.595,17.324,19.457,13.640,17.761,19.907,21.729,58.020,40761.075 ,42.206,2413.316 ,15230.835 ,23.762,48407.644 ,476.670,724.125,8.646
16.304,17.959,5.082,18.538,19.451,14.873,16.424,20.045,19.464,56.696,40074.755 ,41.887,2440.770 ,17071.358 ,23.081,48625.854 ,458.119,732.557,8.556
15.509,17.012,4.721,18.147,19.285,15.016,17.834,19.313,19.556,54.695,40678.807 ,41.299,2543.901 ,14627.503 ,24.303,48699.759 ,460.378,725.118,8.672
15.697,18.972,5.556,15.121,18.489,14.654,19.264,19.508,21.770,59.167,40856.884 ,43.176,2622.219 ,14396.001 ,41.875,48524.283 ,481.859,731.599,8.815
15.861,17.347,5.635,17.436,19.270,14.806,17.695,22.439,18.441,54.740,40427.465 ,43.583,2531.066 ,14558.712 ,24.306,49829.684 ,456.828,753.830,9.412
16.279,17.007,5.102,16.067,21.762,15.157,18.801,21.584,19.105,54.405,42145.317 ,41.622,2942.271 ,14230.742 ,21.964,48989.644 ,479.719,743.940,10.112
17.756,17.135,5.657,18.419,18.956,15.173,17.734,19.360,19.267,54.892,40737.021 ,41.689,2741.392 ,14115.958 ,23.538,48603.093 ,466.518,730.325,10.666
15.563,17.620,4.650,17.442,17.757,14.746,17.384,20.007,20.994,56.427,40466.193 ,43.026,2893.102 ,14078.196 ,24.863,48316.994 ,454.022,744.451,9.932
16.479,21.847,7.576,19.131,21.095,14.635,17.621,19.281,18.420,59.245,39957.409 ,44.933,2473.200 ,14425.709 ,27.106,48549.925 ,457.132,747.264,8.797
18.804,16.844,6.528,16.277,18.622,13.818,18.237,21.557,18.995,54.941,40757.590 ,44.108,2697.298 ,14235.583 ,23.540,48911.435 ,451.744,749.019,10.316
