q1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q5.result,q6.result,q7.result,q8.result,q8_v2_indexed.result,q9.result,q9_v2.result,q9_v3_join.result,q10.result,q10_v2_indexed.result,q11.result,q12.result
68.566,82.751,5.546,9.718,8.171,7.465,8.825,62.369,57.629,59.944,9909.327 ,203.637,1204.617 ,5204.485 ,21.858,63564.302 ,136560.693 ,647.609,9.299
54.509,83.314,4.183,8.725,8.829,8.228,7.486,57.291,61.139,58.967,9341.586 ,56.831,1181.892 ,4903.072 ,13.512,60382.719 ,138868.309 ,639.305,11.078
56.759,80.932,3.905,9.265,8.504,8.028,7.794,59.398,63.790,58.067,9076.521 ,58.614,1173.476 ,4751.775 ,15.654,54337.656 ,192085.380 ,644.003,11.809
58.232,83.850,4.121,8.934,8.757,8.190,8.517,55.104,61.247,58.420,9180.165 ,58.218,1128.027 ,4808.525 ,14.586,56759.943 ,133355.635 ,651.820,9.556
55.620,83.160,4.414,9.972,9.197,8.513,8.212,56.279,62.623,61.388,9916.748 ,58.936,1121.124 ,4887.440 ,14.764,62103.431 ,128743.285 ,650.795,9.468
53.905,81.282,4.071,10.634,9.003,8.234,6.966,63.303,59.878,59.674,10166.093 ,58.784,1089.732 ,5121.076 ,13.399,54417.770 ,117580.263 ,650.656,9.527
54.321,82.341,4.201,9.090,8.651,7.518,7.785,60.635,58.286,59.809,9672.497 ,58.309,1056.589 ,5463.527 ,14.147,52977.211 ,118268.321 ,646.616,9.475
54.890,81.974,4.426,8.857,8.666,8.427,7.416,60.145,56.444,57.388,9053.118 ,58.056,1066.542 ,5533.921 ,13.877,52319.689 ,120330.136 ,654.769,9.851
60.277,82.385,4.398,8.666,9.585,7.648,7.598,59.345,55.484,58.545,8968.707 ,57.896,1081.391 ,5500.411 ,13.393,54119.001 ,115703.904 ,642.726,9.508
59.319,80.921,4.781,9.039,8.993,9.281,7.475,56.608,55.411,58.682,9683.884 ,58.877,1117.943 ,5340.410 ,14.538,54714.424 ,115498.999 ,643.609,9.305
57.517,81.002,4.253,8.305,8.506,8.954,8.385,60.108,57.329,57.398,11267.905 ,58.094,1102.435 ,5063.192 ,13.431,56638.009 ,117283.365 ,644.214,9.413
54.540,80.636,4.347,8.824,8.064,8.332,8.544,56.088,58.119,60.424,10580.766 ,56.978,1076.206 ,4835.460 ,13.369,55831.050 ,116549.265 ,639.411,9.477
